FtrID,Average Rt(min),Average Mz,Metabolite name,Adduct type,A.clarkii T72hI7exp,A.clarkii T0I3exp,A.clarkii T72hI1ctrl,A.clarkii T72hI10ctrl,A.clarkii T72hI7ctrl,A.clarkii T0I5ctrl,A.clarkii T0I1ctrl,A.clarkii T0I3ctrl,A.clarkii T72hI6exp,A.clarkii T72hI11ctrl,A.clarkii T0I6ctrl,A.clarkii T0I2exp,A.clarkii T72hI3exp,A.clarkii T0I2ctrl,A.clarkii T0I8exp,A.clarkii T72hI5ctrl,A.clarkii T0I6exp,A.clarkii T0I1exp,A.clarkii T0I8ctrl,A.clarkii T72hI10exp,A.clarkii T0I11exp,A.clarkii T0I7ctrl,A.clarkii T72hI2ctrl,A.clarkii T0I5exp,A.clarkii T0I4ctrl,A.clarkii T72hI8exp,A.clarkii T72hI8ctrl,A.clarkii T0I4exp,A.clarkii T72hI3ctrl,A.clarkii T72hI1exp,A.clarkii T0I9exp,A.clarkii T72hI11exp,A.clarkii T72hI4ctrl,A.clarkii T0I11ctrl,A.clarkii T0I7exp,A.clarkii T0I9ctrl,A.clarkii T72hI9exp,A.clarkii T72hI9ctrl,A.clarkii T0I10exp,A.clarkii T72hI6ctrl,A.clarkii T0I10ctrl,A.clarkii T72hI2exp
10005_neg,5.325,849.5672,w/o MS2:PG 6:0_36:6,[M-H]-,1706,836,487,1169,1380,1463,35,599,1313,5337,1404,414,1034,748,1154,1062,1118,829,2262,3546,1977,1456,190,658,4070,2429,1412,811,607,287,1674,8536,1398,2262,702,1348,3501,2648,2763,2218,3660,598
10006_neg,5.383,849.56927,w/o MS2:PG 6:0_36:6,[M-H]-,1075,743,472,578,898,717,66,332,990,2054,809,232,501,704,668,699,540,1034,932,1673,1050,761,116,643,1719,959,807,526,571,283,1067,4175,744,2322,583,1086,1355,1367,770,780,1489,421
10009_neg,11.166,849.63385,w/o MS2:NAGlySer 19:1;O(FA 28:6),[M-H]-,1284,1026,1132,1149,1228,1174,1077,996,1217,1227,1030,970,1272,1249,1047,1243,1229,1250,1013,1111,1027,1045,908,1020,1172,1029,1052,1387,862,1094,1283,1149,1164,1208,1033,1221,1160,1451,1052,1123,1214,1171
10011_neg,8.025,849.64813,w/o MS2:PE-Cer 13:1;2O/34:4;O,[M-H]-,2415,748,1137,2006,1888,2738,484,633,2215,3581,2537,617,1581,593,1158,1789,2012,2098,2523,4545,1276,1701,379,1284,4364,2442,2172,1128,751,412,2187,5064,1806,2307,1175,1943,3862,3368,3037,2035,2576,763
10014_neg,5.964,850.49115,w/o MS2:PE 18:2_22:6;4O,[M-H]-,1697,1222,652,1347,1347,1558,253,804,1275,1764,1839,827,989,1110,1544,1235,1363,1298,1764,1803,1487,1538,290,1014,1618,1482,1271,1414,687,416,1746,1586,1103,1659,1053,1640,1486,1506,1852,1509,1740,676
10016_neg,6.469,850.53912,w/o MS2:PE 15:3_30:8,[M-H]-,2229,762,1286,1510,1447,2509,508,848,1935,2562,2105,659,1775,872,1121,1611,1823,2205,2418,2861,1286,2046,402,1387,3331,1955,1681,1636,794,497,2155,3543,1519,2299,1389,1947,2264,2361,2433,2224,2480,786
10017_neg,5.248,850.55353,w/o MS2:Hex2Cer 29:1;2O,[M-H]-,5219,2575,1431,2629,3926,4862,588,1082,4406,4627,2864,1715,2145,2684,3191,3763,4058,4190,4481,6196,3770,3620,437,3051,7482,4489,2774,5120,1240,849,4576,6840,2956,5691,3153,4346,5202,3029,5772,3194,7257,1423
10018_neg,7.161,850.55994,w/o MS2:PC O-15:1_22:6;1O,[M+FA-H]-,12921,5191,1450,5897,9602,16994,497,4361,12199,17591,13504,6523,6019,4516,13162,6152,13827,14230,20422,23565,15042,15407,658,12003,29719,15108,7053,21029,3671,619,12634,28667,9482,10878,12726,13593,15343,8660,29291,11965,32547,4223
10019_neg,5.097,850.56055,w/o MS2:PC O-15:1_22:6;1O,[M-H]-,2371,998,648,1129,1636,1935,355,899,1945,2487,1536,908,1227,1015,1239,1702,1662,2410,2438,2811,1852,1597,302,1438,3027,2006,1230,1804,586,301,2157,3655,1527,2455,1394,1924,2012,1742,2823,1654,3189,728
10022_neg,5.914,850.59802,w/o MS2:PC O-10:0_28:6,[M-H]-,5303,2589,2190,2632,3536,4642,896,1835,4237,6561,3250,2233,3308,2164,3205,2664,4132,4922,6982,7104,4794,4000,767,3153,7957,4267,4118,3887,1675,809,5904,9693,3346,6473,3013,4723,5739,5682,6557,2839,8635,1899
10023_neg,6.517,850.59833,w/o MS2:PC O-10:0_28:6,[M-H]-,2068,740,442,779,838,1702,132,292,1449,2035,875,962,1030,732,1253,731,1852,1715,2203,3262,1732,1513,157,1129,2230,1757,1205,1710,637,207,2227,3419,877,1362,1416,1536,2017,1410,3190,1041,3011,769
10024_neg,6.158,850.59882,w/o MS2:PC O-10:0_28:6,[M+FA-H]-,21711,8095,5958,10362,12134,15725,1565,5770,15603,16810,7799,5800,7721,10047,10764,11291,18841,12496,22404,23843,13729,13350,2229,9302,26894,18273,11671,16224,5355,2242,18415,29713,11722,16725,11906,15032,19800,17462,21603,11549,23778,4952
10031_neg,5.249,851.55664,w/o MS2:PA 20:3_28:7,[M-H]-,2799,1530,610,1361,1856,2353,275,729,2231,2247,1421,980,1110,1261,1548,1783,1868,2052,2398,2953,1704,1984,320,1335,3488,1931,1415,2294,616,408,2178,3644,1699,2783,1472,2006,2620,1518,2899,1478,3087,713
